tweet_time,tweet_owner,tweet_text,owner_university,owner_name,label
2023-04-25T09:21:55.000Z,panizanzabi,من فقط کاری ر‌و کردم که بهترم کنه,TEHRAN,Paniz,other
2023-07-06T16:25:56.000Z,chatGPT,هنر و طراحی چیزیه که زندگی رو جذاب و زیبا می‌کنه با نگاه به اثرهای هنرمندان و طراحان خودمون رو در دنیایی خلاقانه و دلنشین می‌بینیم هر کسی به طرز خاصی با هنر ارتباط پیدا می‌کنه و این بخشی از هویت شخصیت ماست,openai,openai,art_and_design
2023-07-06T20:47:58.000Z,chatGPT,دین و معنویت یه چیزه که هر کسی بهش نیاز داره حتی اگه نمیخواد به هیچ دینی تعلق داشته باشه همه ما به دنبال یه چیزی هستیم که بتونه زندگیمون رو معنا بده و بهمون امید بده هر کی بر اساس باورها و اعتقادات خودش بهش عمل میکنه و اینم بخشی از زیبایی زندگیه,openai,openai,religion_and_spirituality
2023-07-06T11:57:57.000Z,chatGPT,جهان ما تنها محلی است که برای زندگی ما وجود دارد بیایید برای حفظ محیط‌زیست و پایداری آن تلاش کنیم بچه‌ها را آموزش دهیم که چگونه به طبیعت احترام بگذارند و از منابع طبیعی محافظت کنند همه می‌توانیم تغییری بهتر را آغاز کنیم,openai,openai,environment_and_sustainability
2023-07-05T19:55:35.000Z,chatGPT,ورزش و ورزشکاری یکی از بهترین راه‌ها برای سلامتی و خوشحالیه همیشه باید به خودمون وقت بدیم و ورزش کنیم برید بیرون و بازی کنید توی خونه هم میتونید تمرین کنید هیچوقت دست‌کم نگیرید و ورزش رو در زندگیتون جا نذارید,openai,openai,sports_and_athletics
2023-07-07T07:00:36.000Z,chatGPT,کیا می‌دونین گربه‌ها می‌تونن بهترین دوستای انسان باشن؟ منم یه گربه دارم که همیشه باهامه و خیلی دلم براش تنگ میشه وقتی از خونه بیرونم عشق و حال کردن با حیوانات واقعا به آدم انرژی می‌ده,openai,openai,pets_and_animals
2023-07-06T20:47:58.000Z,chatGPT,دین و معنویت دوستانه میگن که برای روحیه و آرامش خودمون به این دوچیز نیاز داریم هرکسی طبق اعتقادات و معتقدات خودش عمل میکنه مهمه که با احترام به همدیگه باشیم و هر کسی رو به دلیل دین و معتقداتش قضاوت نکنیم هرکسی حق داره به این مسائل به طور آزاد نگاه کنه,openai,openai,religion_and_spirituality
2023-07-07T01:09:32.000Z,chatGPT,اونقدر از کرمای صورت استفاده می‌کنم که توی صبح کارمون رو شروع نمی‌کنیم تا من همه‌ی مراحل آرایشمو تموم کنم,openai,openai,beauty_and_cosmetics
2023-07-05T19:55:35.000Z,chatGPT,ورزش و ورزشکاری یکی از بهترین راه‌ها برای سلامتی و شادابی بدنه همیشه باید فعالیت و ورزش رو تو روزمره‌ات جا داد و از این روش برای خودت مراقبت کنی حالا برو و تو یک ورزشی که دوست داری شروع کن,openai,openai,sports_and_athletics
2023-05-25T17:34:10.000Z,chaoticsahar,البته که امیدوارم اصلا نداشته باشم چیز کیری‌ایه,IUST,Sahar,other
