tweet_time,tweet_owner,tweet_text,owner_university,owner_name,label
2023-02-11T10:36:16.000Z,draiusx,برپاخیز به نام  به نام زن به نام زندگی رها شویم ز طوق بندگی شب سیاه ما سحر شود تمام تازیانه ها تبر شود The people unitied will never be defeated by Fredric Rzewnski,IUST,Dara,social_issues_and_activism
2023-06-01T17:32:18.000Z,draiusx,به grand prix امسال که نمی رسم. سال دیگه حتما (اگه پولی موند برام),IUST,Dara,sports_and_athletics
2023-06-01T16:59:09.000Z,draiusx,این بوت‌ها برای راه رفتن ساخته شده‌اند,IUST,Dara,entertainment_and_pop_culture
2023-06-01T16:19:50.000Z,draiusx,این موضوع نیست که چطور شما راک می‌کنید، بلکه درباره این است که چطور شما رول می‌کنید.,IUST,Dara,inspirational_and_motivational
2023-06-01T16:03:27.000Z,draiusx,تا وی کافه فلسطین می‌رید خب چه کاریه برید بن بن,IUST,Dara,travel_and_adventure
2023-06-01T15:00:08.000Z,draiusx,دکتر داریا کامیلیو بوفیتو استاد تمام شد,IUST,Dara,education_and_learning
2023-06-01T14:40:13.000Z,draiusx,تجربه‌ی بسیار باحالی بود از مصاحبت لذت بردیم چیزای عجیب دیدیم و تغییر بافت شهر از تجریش تا راه‌آهن اعجاب‌آور بود. کاریه که هرکی که تهرانیه یا تهران زندگی می‌کنه یکبار باید حداقل انجامش بده,IUST,Dara,travel_and_adventure
2023-06-01T09:24:41.000Z,draiusx,٪ ماموریت انجام شد!!!,IUST,Dara,other
2023-06-01T06:43:04.000Z,draiusx,٪ انجام شد,IUST,Dara,other
2023-06-01T05:19:31.000Z,draiusx,تجریش تا راه آهن  درصد DONE,IUST,Dara,business_and_finance
2023-05-31T19:58:21.000Z,draiusx,محتوای تراز ترمودینامیکی. این بخش مدل‌ها به صورت غیرقابل تصوری data science داره. تحلیل داده‌داشت ولی اصن مد نبود مثلا برای مخلوط‌های بالا دو جزئ یک حرکتی بود به اسم کاهش ابعاد بعد sدهه  اینا معرفی شده در حالی که همین Dimension reduction در دیتاست‌ها تقریبا حرکت نویی محسوبه,IUST,Dara,science_and_discovery
2023-05-31T19:03:08.000Z,draiusx,در مجموع پس از تحلیل‌های بسیار(یک روز می‌ذارم ویرگولم) نتیجه گرفتم ارشد با استاد ساپورتیو در دانشگاه رنک پایین >>> دکترا با استاد سگ اخلاق رنک خفن,IUST,Dara,education_and_learning
2023-05-31T18:48:49.000Z,draiusx,برونو چاغالم می‌بینم مقاله داده. یکی از بهترین تصمیم‌های زندگیم احتمالا کیر کردن تو آفر دکتری مستقیم این یارو بود. ببین  ماه مونده هنوز نرفته نرسیده ندیده انقدر اعصابمو کیری کرد که حد نداره. بعد قرار بود  سال دانشجوشم باشم. به خیر گذشت,IUST,Dara,education_and_learning
