برپاخیز به نام  به نام زن به نام زندگی رها شویم ز طوق بندگی شب سیاه ما سحر شود تمام تازیانه ها تبر شود The people unitied will never be defeated by Fredric Rzewnski,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
به grand prix امسال که نمی رسم.,سال دیگه حتما (اگه پولی موند برام),<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
این بوت‌ها برای راه رفتن ساخته شده‌اند,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
این موضوع نیست که چطور شما راک می‌کنید، بلکه درباره این است که چطور شما رول می‌کنید.,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
تا وی کافه فلسطین می‌رید خب چه کاریه برید بن بن,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
دکتر داریا کامیلیو بوفیتو استاد تمام شد,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
تجربه‌ی بسیار باحالی بود از مصاحبت لذت بردیم چیزای عجیب دیدیم و تغییر بافت شهر از تجریش تا راه‌آهن اعجاب‌آور بود.,کاریه که هرکی که تهرانیه یا تهران زندگی می‌کنه یکبار باید حداقل انجامش بده,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
٪ ماموریت انجام شد!!!,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
٪ انجام شد,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
تجریش تا راه آهن  درصد DONE,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>
