label,tweet count
politics\_and\_current\_affairs,200
entertainment\_and\_pop\_culture,200
sports\_and\_athletics,200
technology\_and\_innovation,200
science\_and\_discovery,200
health\_and\_wellness,200
business\_and\_finance,200
travel\_and\_adventure,200
food\_and\_cooking,200
fashion\_and\_style,200
environment\_and\_sustainability,200
education\_and\_learning,216
social\_issues\_and\_activism,217
inspirational\_and\_motivational,200
funny\_and\_humorous,200
art\_and\_design,200
books\_and\_literature,200
religion\_and\_spirituality,200
family\_and\_parenting,200
gaming,200
beauty\_and\_cosmetics,200
home\_and\_garden,200
automotive,200
pets\_and\_animals,200
weather\_and\_seasons,200
other,413
